# ECP5U & ECP5UM caBGA554 Pin Migration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,PL17B,7,-,Comp_OF_PL17A,TRUE,LDQSN17,,E1,PL17B,7,-,Comp_OF_PL17A,TRUE,LDQSN17,,E1,PL17B,7,-,Comp_OF_PL17A,TRUE,LDQSN17,,E1,PL17B,7,-,Comp_OF_PL17A,TRUE,LDQSN17
E2,GND,-,-,-,-,-,,E2,GND,-,-,-,-,-,,E2,GND,-,-,-,-,-,,E2,GND,-,-,-,-,-
E3,PL17C,7,-,True_OF_PL17D,-,LDQ17,,E3,PL17C,7,-,True_OF_PL17D,-,LDQ17,,E3,PL17C,7,-,True_OF_PL17D,-,LDQ17,,E3,PL17C,7,-,True_OF_PL17D,-,LDQ17
E4,PL20C,7,-,True_OF_PL20D,-,LDQ17,,E4,PL20C,7,-,True_OF_PL20D,-,LDQ17,,E4,PL20C,7,-,True_OF_PL20D,-,LDQ17,,E4,PL20C,7,-,True_OF_PL20D,-,LDQ17
E5,GND,-,-,-,-,-,,E5,GND,-,-,-,-,-,,E5,GND,-,-,-,-,-,,E5,GND,-,-,-,-,-
E6,PT11A,0,-,True_OF_PT11B,-,-,,E6,PT11A,0,-,True_OF_PT11B,-,-,,E6,PT11A,0,-,True_OF_PT11B,-,-,,E6,PT11A,0,-,True_OF_PT11B,-,-
E8,PT22A,0,-,True_OF_PT22B,-,-,,E8,PT22A,0,-,True_OF_PT22B,-,-,,E8,PT49A,0,-,True_OF_PT49B,-,-,,E8,PT49A,0,-,True_OF_PT49B,-,-
E9,GND,-,-,-,-,-,,E9,GND,-,-,-,-,-,,E9,GND,-,-,-,-,-,,E9,GND,-,-,-,-,-
E10,PT27A,0,-,True_OF_PT27B,-,-,,E10,PT27A,0,-,True_OF_PT27B,-,-,,E10,PT54A,0,-,True_OF_PT54B,-,-,,E10,PT54A,0,-,True_OF_PT54B,-,-
E11,PT36A,0,PCLKT0_1,True_OF_PT36B,-,-,,E11,PT36A,0,PCLKT0_1,True_OF_PT36B,-,-,,E11,PT63A,0,PCLKT0_1,True_OF_PT63B,-,-,,E11,PT63A,0,PCLKT0_1,True_OF_PT63B,-,-
E12,GND,-,-,-,-,-,,E12,GND,-,-,-,-,-,,E12,GND,-,-,-,-,-,,E12,GND,-,-,-,-,-
E13,PT42A,1,PCLKT1_1,True_OF_PT42B,-,-,,E13,PT42A,1,PCLKT1_1,True_OF_PT42B,-,-,,E13,PT69A,1,PCLKT1_1,True_OF_PT69B,-,-,,E13,PT69A,1,PCLKT1_1,True_OF_PT69B,-,-
E14,PT42B,1,PCLKC1_1,Comp_OF_PT42A,-,-,,E14,PT42B,1,PCLKC1_1,Comp_OF_PT42A,-,-,,E14,PT69B,1,PCLKC1_1,Comp_OF_PT69A,-,-,,E14,PT69B,1,PCLKC1_1,Comp_OF_PT69A,-,-
E15,GND,-,-,-,-,-,,E15,GND,-,-,-,-,-,,E15,GND,-,-,-,-,-,,E15,GND,-,-,-,-,-
E16,PT53B,1,-,Comp_OF_PT53A,-,-,,E16,PT53B,1,-,Comp_OF_PT53A,-,-,,E16,PT80B,1,-,Comp_OF_PT80A,-,-,,E16,PT80B,1,-,Comp_OF_PT80A,-,-
E17,PT62B,1,-,Comp_OF_PT62A,-,-,,E17,PT62B,1,-,Comp_OF_PT62A,-,-,,E17,PT98B,1,-,Comp_OF_PT98A,-,-,,E17,PT98B,1,-,Comp_OF_PT98A,-,-
E18,GND,-,-,-,-,-,,E18,GND,-,-,-,-,-,,E18,GND,-,-,-,-,-,,E18,GND,-,-,-,-,-
E19,PT67A,1,-,True_OF_PT67B,-,-,,E19,PT67A,1,-,True_OF_PT67B,-,-,,E19,PT103A,1,-,True_OF_PT103B,-,-,,E19,PT103A,1,-,True_OF_PT103B,-,-
E21,PT78B,1,-,Comp_OF_PT78A,-,-,,E21,PT78B,1,-,Comp_OF_PT78A,-,-,,E21,PT114B,1,-,Comp_OF_PT114A,-,-,,E21,PT114B,1,-,Comp_OF_PT114A,-,-
E22,GND,-,-,-,-,-,,E22,GND,-,-,-,-,-,,E22,GND,-,-,-,-,-,,E22,GND,-,-,-,-,-
E23,PR20C,2,-,True_OF_PR20D,-,RDQ17,,E23,PR20C,2,-,True_OF_PR20D,-,RDQ17,,E23,PR20C,2,-,True_OF_PR20D,-,RDQ17,,E23,PR20C,2,-,True_OF_PR20D,-,RDQ17
E24,PR17C,2,-,True_OF_PR17D,-,RDQ17,,E24,PR17C,2,-,True_OF_PR17D,-,RDQ17,,E24,PR17C,2,-,True_OF_PR17D,-,RDQ17,,E24,PR17C,2,-,True_OF_PR17D,-,RDQ17
E25,GND,-,-,-,-,-,,E25,GND,-,-,-,-,-,,E25,GND,-,-,-,-,-,,E25,GND,-,-,-,-,-
E26,PR17B,2,-,Comp_OF_PR17A,TRUE,RDQSN17,,E26,PR17B,2,-,Comp_OF_PR17A,TRUE,RDQSN17,,E26,PR17B,2,-,Comp_OF_PR17A,TRUE,RDQSN17,,E26,PR17B,2,-,Comp_OF_PR17A,TRUE,RDQSN17
F1,PL20B,7,-,Comp_OF_PL20A,TRUE,LDQ17,,F1,PL20B,7,-,Comp_OF_PL20A,TRUE,LDQ17,,F1,PL20B,7,-,Comp_OF_PL20A,TRUE,LDQ17,,F1,PL20B,7,-,Comp_OF_PL20A,TRUE,LDQ17
F2,PL20A,7,-,True_OF_PL20B,TRUE,LDQ17,,F2,PL20A,7,-,True_OF_PL20B,TRUE,LDQ17,,F2,PL20A,7,-,True_OF_PL20B,TRUE,LDQ17,,F2,PL20A,7,-,True_OF_PL20B,TRUE,LDQ17
F3,PL20D,7,-,Comp_OF_PL20C,-,LDQ17,,F3,PL20D,7,-,Comp_OF_PL20C,-,LDQ17,,F3,PL20D,7,-,Comp_OF_PL20C,-,LDQ17,,F3,PL20D,7,-,Comp_OF_PL20C,-,LDQ17
F4,PL23B,7,-,Comp_OF_PL23A,TRUE,LDQ29,,F4,PL23B,7,-,Comp_OF_PL23A,TRUE,LDQ29,,F4,PL35B,7,-,Comp_OF_PL35A,TRUE,LDQ41,,F4,PL35B,7,-,Comp_OF_PL35A,TRUE,LDQ41
F5,PL23A,7,-,True_OF_PL23B,TRUE,LDQ29,,F5,PL23A,7,-,True_OF_PL23B,TRUE,LDQ29,,F5,PL35A,7,-,True_OF_PL35B,TRUE,LDQ41,,F5,PL35A,7,-,True_OF_PL35B,TRUE,LDQ41
F8,NC,-,-,-,-,-,,F8,NC,-,-,-,-,-,,F8,NC,-,-,-,-,-,,F8,NC,-,-,-,-,-
F9,NC,-,-,-,-,-,,F9,NC,-,-,-,-,-,,F9,NC,-,-,-,-,-,,F9,NC,-,-,-,-,-
F10,NC,-,-,-,-,-,,F10,NC,-,-,-,-,-,,F10,NC,-,-,-,-,-,,F10,NC,-,-,-,-,-
F12,NC,-,-,-,-,-,,F12,NC,-,-,-,-,-,,F12,NC,-,-,-,-,-,,F12,NC,-,-,-,-,-
F13,NC,-,-,-,-,-,,F13,NC,-,-,-,-,-,,F13,NC,-,-,-,-,-,,F13,NC,-,-,-,-,-
F14,NC,-,-,-,-,-,,F14,NC,-,-,-,-,-,,F14,NC,-,-,-,-,-,,F14,NC,-,-,-,-,-
F15,NC,-,-,-,-,-,,F15,NC,-,-,-,-,-,,F15,NC,-,-,-,-,-,,F15,NC,-,-,-,-,-
F17,NC,-,-,-,-,-,,F17,NC,-,-,-,-,-,,F17,NC,-,-,-,-,-,,F17,NC,-,-,-,-,-
F18,NC,-,-,-,-,-,,F18,NC,-,-,-,-,-,,F18,NC,-,-,-,-,-,,F18,NC,-,-,-,-,-
F19,NC,-,-,-,-,-,,F19,NC,-,-,-,-,-,,F19,NC,-,-,-,-,-,,F19,NC,-,-,-,-,-
F22,PR23A,2,-,True_OF_PR23B,TRUE,RDQ29,,F22,PR23A,2,-,True_OF_PR23B,TRUE,RDQ29,,F22,PR35A,2,-,True_OF_PR35B,TRUE,RDQ41,,F22,PR35A,2,-,True_OF_PR35B,TRUE,RDQ41
F23,PR23B,2,-,Comp_OF_PR23A,TRUE,RDQ29,,F23,PR23B,2,-,Comp_OF_PR23A,TRUE,RDQ29,,F23,PR35B,2,-,Comp_OF_PR35A,TRUE,RDQ41,,F23,PR35B,2,-,Comp_OF_PR35A,TRUE,RDQ41
F24,PR20D,2,-,Comp_OF_PR20C,-,RDQ17,,F24,PR20D,2,-,Comp_OF_PR20C,-,RDQ17,,F24,PR20D,2,-,Comp_OF_PR20C,-,RDQ17,,F24,PR20D,2,-,Comp_OF_PR20C,-,RDQ17
F25,PR20A,2,-,True_OF_PR20B,TRUE,RDQ17,,F25,PR20A,2,-,True_OF_PR20B,TRUE,RDQ17,,F25,PR20A,2,-,True_OF_PR20B,TRUE,RDQ17,,F25,PR20A,2,-,True_OF_PR20B,TRUE,RDQ17
F26,PR20B,2,-,Comp_OF_PR20A,TRUE,RDQ17,,F26,PR20B,2,-,Comp_OF_PR20A,TRUE,RDQ17,,F26,PR20B,2,-,Comp_OF_PR20A,TRUE,RDQ17,,F26,PR20B,2,-,Comp_OF_PR20A,TRUE,RDQ17
H1,PL35D,6,PCLKC6_0,Comp_OF_PL35C,-,LDQ41,,H1,PL35D,6,PCLKC6_0,Comp_OF_PL35C,-,LDQ41,,H1,PL47D,6,PCLKC6_0,Comp_OF_PL47C,-,LDQ53,,H1,PL47D,6,PCLKC6_0,Comp_OF_PL47C,-,LDQ53
H2,PL35C,6,PCLKT6_0,True_OF_PL35D,-,LDQ41,,H2,PL35C,6,PCLKT6_0,True_OF_PL35D,-,LDQ41,,H2,PL47C,6,PCLKT6_0,True_OF_PL47D,-,LDQ53,,H2,PL47C,6,PCLKT6_0,True_OF_PL47D,-,LDQ53
H3,PL35A,6,PCLKT6_1,True_OF_PL35B,TRUE,LDQ41,,H3,PL35A,6,PCLKT6_1,True_OF_PL35B,TRUE,LDQ41,,H3,PL47A,6,PCLKT6_1,True_OF_PL47B,TRUE,LDQ53,,H3,PL47A,6,PCLKT6_1,True_OF_PL47B,TRUE,LDQ53
H4,PL26C,7,-,True_OF_PL26D,-,LDQ29,,H4,PL26C,7,-,True_OF_PL26D,-,LDQ29,,H4,PL38C,7,-,True_OF_PL38D,-,LDQ41,,H4,PL38C,7,-,True_OF_PL38D,-,LDQ41
H5,PL23C,7,VREF1_7,True_OF_PL23D,-,LDQ29,,H5,PL23C,7,VREF1_7,True_OF_PL23D,-,LDQ29,,H5,PL35C,7,VREF1_7,True_OF_PL35D,-,LDQ41,,H5,PL35C,7,VREF1_7,True_OF_PL35D,-,LDQ41
H6,PL23D,7,-,Comp_OF_PL23C,-,LDQ29,,H6,PL23D,7,-,Comp_OF_PL23C,-,LDQ29,,H6,PL35D,7,-,Comp_OF_PL35C,-,LDQ41,,H6,PL35D,7,-,Comp_OF_PL35C,-,LDQ41
H8,GND,-,-,-,-,-,,H8,GND,-,-,-,-,-,,H8,GND,-,-,-,-,-,,H8,GND,-,-,-,-,-
H9,GND,-,-,-,-,-,,H9,GND,-,-,-,-,-,,H9,GND,-,-,-,-,-,,H9,GND,-,-,-,-,-
H10,VCCIO0,0,-,-,-,-,,H10,VCCIO0,0,-,-,-,-,,H10,VCCIO0,0,-,-,-,-,,H10,VCCIO0,0,-,-,-,-
H11,VCCAUX,-,-,-,-,-,,H11,VCCAUX,-,-,-,-,-,,H11,VCCAUX,-,-,-,-,-,,H11,VCCAUX,-,-,-,-,-
H12,VCCIO0,0,-,-,-,-,,H12,VCCIO0,0,-,-,-,-,,H12,VCCIO0,0,-,-,-,-,,H12,VCCIO0,0,-,-,-,-
H13,VCCIO0,0,-,-,-,-,,H13,VCCIO0,0,-,-,-,-,,H13,VCCIO0,0,-,-,-,-,,H13,VCCIO0,0,-,-,-,-
H14,VCCAUX,-,-,-,-,-,,H14,VCCAUX,-,-,-,-,-,,H14,VCCAUX,-,-,-,-,-,,H14,VCCAUX,-,-,-,-,-
H15,VCCIO1,1,-,-,-,-,,H15,VCCIO1,1,-,-,-,-,,H15,VCCIO1,1,-,-,-,-,,H15,VCCIO1,1,-,-,-,-
H16,VCCIO1,1,-,-,-,-,,H16,VCCIO1,1,-,-,-,-,,H16,VCCIO1,1,-,-,-,-,,H16,VCCIO1,1,-,-,-,-
H17,VCCAUX,-,-,-,-,-,,H17,VCCAUX,-,-,-,-,-,,H17,VCCAUX,-,-,-,-,-,,H17,VCCAUX,-,-,-,-,-
H18,VCCIO1,1,-,-,-,-,,H18,VCCIO1,1,-,-,-,-,,H18,VCCIO1,1,-,-,-,-,,H18,VCCIO1,1,-,-,-,-
H19,GND,-,-,-,-,-,,H19,GND,-,-,-,-,-,,H19,GND,-,-,-,-,-,,H19,GND,-,-,-,-,-
H21,PR23D,2,-,Comp_OF_PR23C,-,RDQ29,,H21,PR23D,2,-,Comp_OF_PR23C,-,RDQ29,,H21,PR35D,2,-,Comp_OF_PR35C,-,RDQ41,,H21,PR35D,2,-,Comp_OF_PR35C,-,RDQ41
H22,PR23C,2,VREF1_2,True_OF_PR23D,-,RDQ29,,H22,PR23C,2,VREF1_2,True_OF_PR23D,-,RDQ29,,H22,PR35C,2,VREF1_2,True_OF_PR35D,-,RDQ41,,H22,PR35C,2,VREF1_2,True_OF_PR35D,-,RDQ41
H23,PR26C,2,-,True_OF_PR26D,-,RDQ29,,H23,PR26C,2,-,True_OF_PR26D,-,RDQ29,,H23,PR38C,2,-,True_OF_PR38D,-,RDQ41,,H23,PR38C,2,-,True_OF_PR38D,-,RDQ41
H24,PR35A,3,PCLKT3_1,True_OF_PR35B,TRUE,RDQ41,,H24,PR35A,3,PCLKT3_1,True_OF_PR35B,TRUE,RDQ41,,H24,PR47A,3,PCLKT3_1,True_OF_PR47B,TRUE,RDQ53,,H24,PR47A,3,PCLKT3_1,True_OF_PR47B,TRUE,RDQ53
H25,PR35C,3,PCLKT3_0,True_OF_PR35D,-,RDQ41,,H25,PR35C,3,PCLKT3_0,True_OF_PR35D,-,RDQ41,,H25,PR47C,3,PCLKT3_0,True_OF_PR47D,-,RDQ53,,H25,PR47C,3,PCLKT3_0,True_OF_PR47D,-,RDQ53
H26,PR35D,3,PCLKC3_0,Comp_OF_PR35C,-,RDQ41,,H26,PR35D,3,PCLKC3_0,Comp_OF_PR35C,-,RDQ41,,H26,PR47D,3,PCLKC3_0,Comp_OF_PR47C,-,RDQ53,,H26,PR47D,3,PCLKC3_0,Comp_OF_PR47C,-,RDQ53
J1,PL38B,6,-,Comp_OF_PL38A,TRUE,LDQ41,,J1,PL38B,6,-,Comp_OF_PL38A,TRUE,LDQ41,,J1,PL50B,6,-,Comp_OF_PL50A,TRUE,LDQ53,,J1,PL50B,6,-,Comp_OF_PL50A,TRUE,LDQ53
J2,GND,-,-,-,-,-,,J2,GND,-,-,-,-,-,,J2,GND,-,-,-,-,-,,J2,GND,-,-,-,-,-
J3,PL35B,6,PCLKC6_1,Comp_OF_PL35A,TRUE,LDQ41,,J3,PL35B,6,PCLKC6_1,Comp_OF_PL35A,TRUE,LDQ41,,J3,PL47B,6,PCLKC6_1,Comp_OF_PL47A,TRUE,LDQ53,,J3,PL47B,6,PCLKC6_1,Comp_OF_PL47A,TRUE,LDQ53
J4,PL29B,7,-,Comp_OF_PL29A,TRUE,LDQSN29,,J4,PL29B,7,-,Comp_OF_PL29A,TRUE,LDQSN29,,J4,PL41B,7,-,Comp_OF_PL41A,TRUE,LDQSN41,,J4,PL41B,7,-,Comp_OF_PL41A,TRUE,LDQSN41
J5,GND,-,-,-,-,-,,J5,GND,-,-,-,-,-,,J5,GND,-,-,-,-,-,,J5,GND,-,-,-,-,-
J6,PL26A,7,-,True_OF_PL26B,TRUE,LDQ29,,J6,PL26A,7,-,True_OF_PL26B,TRUE,LDQ29,,J6,PL38A,7,-,True_OF_PL38B,TRUE,LDQ41,,J6,PL38A,7,-,True_OF_PL38B,TRUE,LDQ41
J8,GND,-,-,-,-,-,,J8,GND,-,-,-,-,-,,J8,GND,-,-,-,-,-,,J8,GND,-,-,-,-,-
J9,GND,-,-,-,-,-,,J9,GND,-,-,-,-,-,,J9,GND,-,-,-,-,-,,J9,GND,-,-,-,-,-
J10,GND,-,-,-,-,-,,J10,GND,-,-,-,-,-,,J10,GND,-,-,-,-,-,,J10,GND,-,-,-,-,-
J11,GND,-,-,-,-,-,,J11,GND,-,-,-,-,-,,J11,GND,-,-,-,-,-,,J11,GND,-,-,-,-,-
J12,GND,-,-,-,-,-,,J12,GND,-,-,-,-,-,,J12,GND,-,-,-,-,-,,J12,GND,-,-,-,-,-
J13,GND,-,-,-,-,-,,J13,GND,-,-,-,-,-,,J13,GND,-,-,-,-,-,,J13,GND,-,-,-,-,-
J14,GND,-,-,-,-,-,,J14,GND,-,-,-,-,-,,J14,GND,-,-,-,-,-,,J14,GND,-,-,-,-,-
J15,GND,-,-,-,-,-,,J15,GND,-,-,-,-,-,,J15,GND,-,-,-,-,-,,J15,GND,-,-,-,-,-
J16,GND,-,-,-,-,-,,J16,GND,-,-,-,-,-,,J16,GND,-,-,-,-,-,,J16,GND,-,-,-,-,-
J17,GND,-,-,-,-,-,,J17,GND,-,-,-,-,-,,J17,GND,-,-,-,-,-,,J17,GND,-,-,-,-,-
J18,GND,-,-,-,-,-,,J18,GND,-,-,-,-,-,,J18,GND,-,-,-,-,-,,J18,GND,-,-,-,-,-
J19,VCCIO2,2,-,-,-,-,,J19,VCCIO2,2,-,-,-,-,,J19,VCCIO2,2,-,-,-,-,,J19,VCCIO2,2,-,-,-,-
J21,PR26A,2,-,True_OF_PR26B,TRUE,RDQ29,,J21,PR26A,2,-,True_OF_PR26B,TRUE,RDQ29,,J21,PR38A,2,-,True_OF_PR38B,TRUE,RDQ41,,J21,PR38A,2,-,True_OF_PR38B,TRUE,RDQ41
J22,GND,-,-,-,-,-,,J22,GND,-,-,-,-,-,,J22,GND,-,-,-,-,-,,J22,GND,-,-,-,-,-
J23,PR29B,2,-,Comp_OF_PR29A,TRUE,RDQSN29,,J23,PR29B,2,-,Comp_OF_PR29A,TRUE,RDQSN29,,J23,PR41B,2,-,Comp_OF_PR41A,TRUE,RDQSN41,,J23,PR41B,2,-,Comp_OF_PR41A,TRUE,RDQSN41
J24,PR35B,3,PCLKC3_1,Comp_OF_PR35A,TRUE,RDQ41,,J24,PR35B,3,PCLKC3_1,Comp_OF_PR35A,TRUE,RDQ41,,J24,PR47B,3,PCLKC3_1,Comp_OF_PR47A,TRUE,RDQ53,,J24,PR47B,3,PCLKC3_1,Comp_OF_PR47A,TRUE,RDQ53
J25,GND,-,-,-,-,-,,J25,GND,-,-,-,-,-,,J25,GND,-,-,-,-,-,,J25,GND,-,-,-,-,-
J26,PR38B,3,-,Comp_OF_PR38A,TRUE,RDQ41,,J26,PR38B,3,-,Comp_OF_PR38A,TRUE,RDQ41,,J26,PR50B,3,-,Comp_OF_PR50A,TRUE,RDQ53,,J26,PR50B,3,-,Comp_OF_PR50A,TRUE,RDQ53
K1,PL41C,6,-,True_OF_PL41D,-,LDQ41,,K1,PL41C,6,-,True_OF_PL41D,-,LDQ41,,K1,PL53C,6,-,True_OF_PL53D,-,LDQ53,,K1,PL53C,6,-,True_OF_PL53D,-,LDQ53
K2,PL38A,6,GR_PCLK6_0,True_OF_PL38B,TRUE,LDQ41,,K2,PL38A,6,GR_PCLK6_0,True_OF_PL38B,TRUE,LDQ41,,K2,PL50A,6,GR_PCLK6_0,True_OF_PL50B,TRUE,LDQ53,,K2,PL50A,6,GR_PCLK6_0,True_OF_PL50B,TRUE,LDQ53
K3,PL38C,6,GR_PCLK6_1,True_OF_PL38D,-,LDQ41,,K3,PL38C,6,GR_PCLK6_1,True_OF_PL38D,-,LDQ41,,K3,PL50C,6,GR_PCLK6_1,True_OF_PL50D,-,LDQ53,,K3,PL50C,6,GR_PCLK6_1,True_OF_PL50D,-,LDQ53
K4,PL32A,7,PCLKT7_1,True_OF_PL32B,TRUE,LDQ29,,K4,PL32A,7,PCLKT7_1,True_OF_PL32B,TRUE,LDQ29,,K4,PL44A,7,PCLKT7_1,True_OF_PL44B,TRUE,LDQ41,,K4,PL44A,7,PCLKT7_1,True_OF_PL44B,TRUE,LDQ41
K5,PL29A,7,GR_PCLK7_1,True_OF_PL29B,TRUE,LDQS29,,K5,PL29A,7,GR_PCLK7_1,True_OF_PL29B,TRUE,LDQS29,,K5,PL41A,7,GR_PCLK7_1,True_OF_PL41B,TRUE,LDQS41,,K5,PL41A,7,GR_PCLK7_1,True_OF_PL41B,TRUE,LDQS41
K6,PL26B,7,-,Comp_OF_PL26A,TRUE,LDQ29,,K6,PL26B,7,-,Comp_OF_PL26A,TRUE,LDQ29,,K6,PL38B,7,-,Comp_OF_PL38A,TRUE,LDQ41,,K6,PL38B,7,-,Comp_OF_PL38A,TRUE,LDQ41
K8,VCCIO7,7,-,-,-,-,,K8,VCCIO7,7,-,-,-,-,,K8,VCCIO7,7,-,-,-,-,,K8,VCCIO7,7,-,-,-,-
K9,GND,-,-,-,-,-,,K9,GND,-,-,-,-,-,,K9,GND,-,-,-,-,-,,K9,GND,-,-,-,-,-
K10,GND,-,-,-,-,-,,K10,GND,-,-,-,-,-,,K10,GND,-,-,-,-,-,,K10,GND,-,-,-,-,-
K11,VCC,-,-,-,-,-,,K11,VCC,-,-,-,-,-,,K11,VCC,-,-,-,-,-,,K11,VCC,-,-,-,-,-
K12,VCC,-,-,-,-,-,,K12,VCC,-,-,-,-,-,,K12,VCC,-,-,-,-,-,,K12,VCC,-,-,-,-,-
K13,VCC,-,-,-,-,-,,K13,VCC,-,-,-,-,-,,K13,VCC,-,-,-,-,-,,K13,VCC,-,-,-,-,-
K14,VCC,-,-,-,-,-,,K14,VCC,-,-,-,-,-,,K14,VCC,-,-,-,-,-,,K14,VCC,-,-,-,-,-
K15,VCC,-,-,-,-,-,,K15,VCC,-,-,-,-,-,,K15,VCC,-,-,-,-,-,,K15,VCC,-,-,-,-,-
K16,VCC,-,-,-,-,-,,K16,VCC,-,-,-,-,-,,K16,VCC,-,-,-,-,-,,K16,VCC,-,-,-,-,-
K17,GND,-,-,-,-,-,,K17,GND,-,-,-,-,-,,K17,GND,-,-,-,-,-,,K17,GND,-,-,-,-,-
K18,GND,-,-,-,-,-,,K18,GND,-,-,-,-,-,,K18,GND,-,-,-,-,-,,K18,GND,-,-,-,-,-
K19,VCCAUX,-,-,-,-,-,,K19,VCCAUX,-,-,-,-,-,,K19,VCCAUX,-,-,-,-,-,,K19,VCCAUX,-,-,-,-,-
K21,PR26B,2,-,Comp_OF_PR26A,TRUE,RDQ29,,K21,PR26B,2,-,Comp_OF_PR26A,TRUE,RDQ29,,K21,PR38B,2,-,Comp_OF_PR38A,TRUE,RDQ41,,K21,PR38B,2,-,Comp_OF_PR38A,TRUE,RDQ41
K22,PR29A,2,GR_PCLK2_1,True_OF_PR29B,TRUE,RDQS29,,K22,PR29A,2,GR_PCLK2_1,True_OF_PR29B,TRUE,RDQS29,,K22,PR41A,2,GR_PCLK2_1,True_OF_PR41B,TRUE,RDQS41,,K22,PR41A,2,GR_PCLK2_1,True_OF_PR41B,TRUE,RDQS41
K23,PR32A,2,PCLKT2_1,True_OF_PR32B,TRUE,RDQ29,,K23,PR32A,2,PCLKT2_1,True_OF_PR32B,TRUE,RDQ29,,K23,PR44A,2,PCLKT2_1,True_OF_PR44B,TRUE,RDQ41,,K23,PR44A,2,PCLKT2_1,True_OF_PR44B,TRUE,RDQ41
